analysis_id,z88o9z72912uq3i
parameter_name,Retinal Blood Vessels
gene_symbol,Snap23
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:109356
parameter_id,IMPC_EYE_024_001
pvalue,0.1843527
