gene_symbol,Bpifa3
parameter_name,NK cell number
pvalue,0.6318402
gene_accession_id,MGI:1920638
mouse_strain,129SV
parameter_id,MGP_PBI_027_001
mouse_life_stage,Early adult
analysis_id,6lvx090ge68t0u1
