analysis_id,58q2k7ioca20g3e
pvalue,0.3224032
gene_symbol,Nanp
parameter_id,JAX_LDT_003_001
parameter_name,Time mobile light side
gene_accession_id,MGI:1914561
mouse_strain,C57BL
mouse_life_stage,E18.5
