gene_symbol,Trim46
pvalue,0.278493
parameter_name,Cornea vascularisation
mouse_strain,C57BL
gene_accession_id,MGI:2673000
analysis_id,05d387v7ut2c9z1
parameter_id,ESLIM_014_001_008
mouse_life_stage,Early adult
