gene_symbol,Ntmt2
analysis_id,1vj33o60e1sv7io
mouse_strain,C57BL
parameter_id,IMPC_IMM_051_001
gene_accession_id,MGI:2685053
parameter_name,Monocytes
pvalue,0.4643887
mouse_life_stage,Early adult
