parameter_id,HMGULA_DYS_024_001
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
pvalue,0.4696614
parameter_name,Vibrissae - appearance
analysis_id,243qpj9z5pfr688
mouse_strain,C57BL
