parameter_name,Periphery distance travelled
gene_symbol,Sfpq
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
pvalue,0.8579639
parameter_id,HRWLLA_OFD_010_001
mouse_strain,C57BL
analysis_id,543tyj5oyxetjv2
