analysis_id,68m49sx2k03lm35
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
pvalue,0.688323
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_013_001
parameter_name,Periphery average speed
mouse_strain,C57BL
