analysis_id,30tb294u5m1f3sv
pvalue,0.449982
parameter_name,Neutrophil differential count
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_029_001
mouse_strain,129SV
gene_symbol,Zmynd8
