gene_symbol,Kif24
mouse_life_stage,Early adult
pvalue,0.6959503
analysis_id,z618911222158nk
gene_accession_id,MGI:1918345
parameter_name,Lean mass
mouse_strain,C57BL
parameter_id,IMPC_DXA_003_001
