analysis_id,59393a84ngf3nd5
pvalue,0.9435499
mouse_life_stage,Early adult
parameter_id,MGP_IMM_015_001
gene_symbol,Ufc1
mouse_strain,C57BL
gene_accession_id,MGI:1913405
parameter_name,Resting CD8+ T cells - % of CD8+
