gene_symbol,Kdm5b
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_strain,C57BL
parameter_id,MGP_IMM_004_001
pvalue,0.5520526
analysis_id,32n3iiws8277508
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
