analysis_id,ipl76k5yfag04x9
gene_symbol,Zmynd8
mouse_strain,129SV
gene_accession_id,MGI:1918025
parameter_name,LVIDd
parameter_id,IMPC_ECH_008_001
mouse_life_stage,Early adult
pvalue,0.7033637
