gene_symbol,Fgb
parameter_name,Periphery resting time
mouse_life_stage,Early adult
pvalue,0.405031
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_011_001
analysis_id,4czq298d549bj5m
gene_accession_id,MGI:99501
