parameter_name,Chloride
gene_accession_id,MGI:1914515
analysis_id,6649mvi464f4945
mouse_life_stage,E9.5
parameter_id,IMPC_CBC_003_001
gene_symbol,Slc39a10
mouse_strain,C57BL
pvalue,0.9849365
