analysis_id,p8sws394r32k53r
mouse_strain,C57BL
gene_accession_id,MGI:104848
parameter_id,JAXLA_CSD_023_001
mouse_life_stage,Early adult
parameter_name,Vibrissae - presence
pvalue,0.5964759
gene_symbol,Inpp1
