analysis_id,52541q35c4n29eh
mouse_life_stage,Early adult
parameter_name,Breath rate during sleep mean
pvalue,0.8865557
mouse_strain,C57BL
gene_accession_id,MGI:1914256
parameter_id,JAX_SLW_013_001
gene_symbol,Cisd2
