gene_symbol,Car13
parameter_name,Total CD4+ T cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_071_001
analysis_id,ckr69mw22037b81
pvalue,0.2946222
gene_accession_id,MGI:1931322
mouse_strain,C57BL
