parameter_id,MGP_IMM_041_001
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
pvalue,0.4133143
parameter_name,Total B cells - % of CD45+
mouse_strain,C57BL
analysis_id,jd782786g157j69
