analysis_id,c6uli45xa97p134
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_003
gene_accession_id,MGI:1274787
gene_symbol,Trdmt1
pvalue,0.9631344
parameter_name,Whole arena resting time
