gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
pvalue,0.1480971
analysis_id,2ieft348b8yt440
mouse_life_stage,Early adult
parameter_name,Creatinine
mouse_strain,C57BL
parameter_id,HMGULA_CBC_005_001
