gene_symbol,Tiprl
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_life_stage,Early adult
analysis_id,8xg3tkkjp1q9odk
parameter_id,MGP_BMI_014_001
mouse_strain,C57BL
gene_accession_id,MGI:1915087
pvalue,0.4594427
