parameter_id,JAXLA_CBC_015_001
analysis_id,5w0a2q4h9833094
mouse_life_stage,E9.5
gene_accession_id,MGI:87968
parameter_name,Total cholesterol
pvalue,0.1598958
gene_symbol,Ahcy
mouse_strain,C57BL
