analysis_id,8c2kjd6d6geq40f
gene_symbol,Ap5s1
mouse_strain,C57BL
pvalue,0.7383129
parameter_id,MGP_IMM_028_001
gene_accession_id,MGI:1916846
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
