pvalue,0
mouse_life_stage,Early adult
gene_accession_id,MGI:1914061
parameter_id,MGP_MLN_001_001
gene_symbol,Duoxa2
parameter_name,Total T cells - % of CD45+
mouse_strain,C57BL
analysis_id,8vf21juy1h72707
