gene_symbol,Nemp2
mouse_strain,C57BL
gene_accession_id,MGI:2444113
pvalue,0.9588441
analysis_id,k9590p1617013q9
mouse_life_stage,Early adult
parameter_id,JAX_LDT_003_001
parameter_name,Time mobile light side
