analysis_id,ku9ad2817pqmb51
mouse_strain,C57BL
pvalue,0.94553
parameter_name,Resting Treg cells - % of Treg
gene_symbol,Snap23
parameter_id,MGP_IMM_011_001
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:109356
