parameter_name,center - distance
gene_accession_id,MGI:1914672
analysis_id,mv4230oz9fx2f34
mouse_life_stage,Early adult
gene_symbol,Dhdds
pvalue,0.62594
parameter_id,M-G-P_007_001_010
mouse_strain,C57BL
