gene_symbol,Exd1
mouse_life_stage,Early adult
parameter_name,Forebrain
gene_accession_id,MGI:3045306
mouse_strain,C57BL
analysis_id,38s9u423d2t0x83
parameter_id,IMPC_GEL_028_001
pvalue,0.3150273
