analysis_id,9i46wr9894ow46f
pvalue,0.1460526
mouse_strain,C57BL
parameter_id,IMPC_HEM_030_001
mouse_life_stage,E12.5
parameter_name,Neutrophil cell count
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
