analysis_id,0fif03e242he86f
mouse_strain,C57BL
gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
pvalue,0.8645675
parameter_id,M-G-P_016_001_005
mouse_life_stage,Early adult
parameter_name,Mean-cell-volume
