parameter_name,Pericardium Morphology
mouse_life_stage,Early adult
gene_symbol,Eprs1
mouse_strain,C57BL
analysis_id,dq5i82bd6x803lz
gene_accession_id,MGI:97838
pvalue,0.6997354
parameter_id,IMPC_GEL_006_001
