parameter_name,Vocalization
gene_symbol,Col6a3
gene_accession_id,MGI:88461
pvalue,0.4200631
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_078_001
analysis_id,4llb826u71za9nl
