gene_symbol,Pex19
parameter_id,IMPC_GEP_017_001
mouse_strain,C57BL
gene_accession_id,MGI:1334458
pvalue,0.4154793
parameter_name,Facial Morphology
analysis_id,1751977s5p8786i
mouse_life_stage,Early adult
