gene_symbol,Wars2
parameter_name,Startle response
pvalue,0.3582197
analysis_id,154366p499u1vu4
mouse_strain,C57BL
parameter_id,ESLIM_008_001_013
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
