parameter_name,B cell number
analysis_id,v5g51vlt44jo235
gene_symbol,Cds2
pvalue,0.7289205
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_034_001
