analysis_id,54c1487j55r8t2g
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
parameter_id,IMPC_FEA_106_001
mouse_strain,C57BL
pvalue,0.549722
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
