parameter_name,Ventral coat/hair presence
pvalue,0.9975525
analysis_id,75fank5rp44oakk
mouse_strain,C57BL
gene_symbol,Bcs1l
parameter_id,MGP_CSD_025_001
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
