parameter_name,Magnesium
mouse_life_stage,Early adult
parameter_id,M-G-P_025_001_030
analysis_id,j401jvdw086b230
gene_accession_id,MGI:88071
pvalue,0.7879276
gene_symbol,Arnt
mouse_strain,C57BL
