analysis_id,4m6eon141h6ehgg
mouse_strain,C57BL
parameter_name,Creatinine
pvalue,0.4515804
gene_symbol,Hpca
parameter_id,IMPC_CBC_005_001
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
