parameter_id,IMPC_ACS_037_001
gene_accession_id,MGI:1914309
mouse_strain,C57BL
analysis_id,9sti50240jfmc39
mouse_life_stage,Early adult
gene_symbol,Ola1
parameter_name,% Pre-pulse inhibition - Global
pvalue,0.8179215
