analysis_id,pw6hsn99ge1b10m
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88479
parameter_id,IMPC_ECH_018_001
gene_symbol,Cpa3
parameter_name,Respiration Rate
pvalue,0.4716569
