analysis_id,5ap25049zs59qh2
mouse_life_stage,E9.5
gene_symbol,Ints7
gene_accession_id,MGI:1924315
pvalue,0.9119001
parameter_name,Head coat/hair presence
mouse_strain,C57BL
parameter_id,MGP_CSD_015_001
