gene_symbol,Etfdh
parameter_id,MGP_MLN_033_001
parameter_name,Resting NK cells - % of NK cells
analysis_id,zp00s9p35o8q3g6
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.07351319
gene_accession_id,MGI:106100
