analysis_id,gh39959z0382hwe
mouse_life_stage,Early adult
parameter_name,Total T cells - % of CD45+
parameter_id,MGP_MLN_001_001
gene_symbol,Zyg11b
pvalue,0.3862062
gene_accession_id,MGI:2685277
mouse_strain,C57BL
