analysis_id,o6f9f5j99enl5cd
mouse_strain,C57BL
gene_symbol,Trdmt1
pvalue,0.6416001
mouse_life_stage,Early adult
parameter_name,Breath rate during sleep mean
parameter_id,JAX_SLW_013_001
gene_accession_id,MGI:1274787
