analysis_id,2921yqyr4b2x3lm
mouse_life_stage,Early adult
parameter_name,QT
pvalue,0.6174516
mouse_strain,C57BL
gene_accession_id,MGI:99915
gene_symbol,Lamb3
parameter_id,IMPC_ECG_028_001
