parameter_name,Upper teeth appearance
mouse_life_stage,Early adult
gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
mouse_strain,C54BL
parameter_id,IMPC_CSD_069_001
analysis_id,6zl1b3inj6f2rw2
pvalue,0.9960025
