analysis_id,a832gazpgv6ke7e
mouse_life_stage,Early adult
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_accession_id,MGI:96757
pvalue,0.7711957
parameter_id,MGP_MLN_072_001
gene_symbol,Lcn2
mouse_strain,C57BL
