analysis_id,4ubpod4822fjk24
gene_accession_id,MGI:107566
pvalue,0.9471423
gene_symbol,Kifap3
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_062_001
parameter_name,Right total retinal thickness
mouse_strain,C57BL
