gene_symbol,Ifi44
gene_accession_id,MGI:2443016
mouse_life_stage,Early adult
parameter_name,Red blood cell distribution width
parameter_id,IMPC_HEM_027_001
pvalue,0.06372133
mouse_strain,C57BL
analysis_id,mxyyg4u8w7u3z7b
