parameter_id,IMPC_CSD_029_001
parameter_name,Activity (body position)
gene_symbol,Sfpq
analysis_id,w07mci2o7ru73c4
mouse_strain,C57BL
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
pvalue,0.8346558
