parameter_name,HDL-cholesterol
parameter_id,ESLIM_021_001_005
pvalue,0.6277019
mouse_strain,C54BL
mouse_life_stage,Early adult
gene_symbol,Ola1
gene_accession_id,MGI:1914309
analysis_id,e5rc2e1931t345c
