analysis_id,2calr6y618h31ax
pvalue,0.4872558
gene_accession_id,MGI:1913105
gene_symbol,Slc28a2
parameter_name,CV
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECG_003_001
