analysis_id,55mew4818gi759h
gene_accession_id,MGI:2651854
mouse_strain,C57BL
parameter_name,Mean left eye lens density
gene_symbol,Atg4c
pvalue,0.4144469
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_056_001
