analysis_id,m9nc534922h0h21
parameter_name,Skull shape
parameter_id,CCP_XRY_001_001
mouse_strain,C57BL
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_life_stage,Early adult
pvalue,0.2240785
