parameter_name,Vitreous
gene_symbol,Nanp
analysis_id,n4ej9x9w56gq417
parameter_id,UCDLA_EYE_083_001
mouse_strain,C57BL
mouse_life_stage,E18.5
pvalue,0.4648889
gene_accession_id,MGI:1914561
