gene_symbol,Cmpk1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_079_001
analysis_id,df8c6dyv212s438
parameter_name,KLRG1+ Treg cells - % of CD45+
pvalue,0.4829629
gene_accession_id,MGI:1913838
