analysis_id,qq68jh0mc7m66d7
gene_symbol,Ift74
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI4
parameter_id,IMPC_ACS_036_001
gene_accession_id,MGI:1914944
pvalue,0.5819443
