analysis_id,399f805fpf14r71
pvalue,0.7785509
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
gene_symbol,Bcs1l
mouse_strain,C53BL
gene_accession_id,MGI:1914071
parameter_id,IMPC_CBC_014_001
