analysis_id,w544icqnk461000
parameter_id,IMPC_CSD_070_001
parameter_name,Lower teeth appearance
mouse_life_stage,Early adult
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
mouse_strain,C57BL
pvalue,0.874718
