parameter_name,Snout size
pvalue,0.6151467
gene_accession_id,MGI:1919137
gene_symbol,Ppm1j
mouse_strain,C57BL
parameter_id,MGP_CSD_067_001
mouse_life_stage,Early adult
analysis_id,1qf35jw173xm2n4
