gene_symbol,Toporsl
Gene_accession_id,MGI:1915524
Mouse_life_stage,Early adult
Parameter_name,KLRG1+ Treg cells - % of CD45+
Parameter_id,MGP_MLN_072_001
Pvalue,0.464823
Mouse_strain,C57BL
Analysis_id,8yw74eh0n56mhc8
