gene_symbol,Cd52
mouse_life_stage,Early adult
pvalue,0.28262
gene_accession_id,MGI:1346088
parameter_name,Total CD4+ T cells - % of CD45+
analysis_id,oe955t89jf47gmr
parameter_id,MGP_MLN_064_001
mouse_strain,C57BL
